game_id,date,home_team,home_score,away_team,away_score,win_score,lose_score,win_team,lose_team,win_points,lose_points,win_point_diff,lose_point_diff
2685,2018-04-12,Paraguay,2,Uruguay,1,2,1,Paraguay,Uruguay,1465,1355,110,-110
2686,2018-04-12,Chile,5,Peru,0,5,0,Chile,Peru,1567,1409,158,-158
2687,2018-04-12,Jordan,1,China PR,8,8,1,China PR,Jordan,1855,1460,395,-395
2688,2018-04-12,Thailand,3,Philippines,1,3,1,Thailand,Philippines,1676,1316,360,-360
2689,2018-04-13,Argentina,2,Venezuela,0,2,0,Argentina,Venezuela,1615,1388,227,-227
2690,2018-04-13,Bolivia,0,Brazil,7,7,0,Brazil,Bolivia,1968,1217,751,-751
2691,2018-04-13,Argentina,2,Venezuela,0,2,0,Argentina,Venezuela,1615,1388,227,-227
2692,2018-04-13,Bolivia,0,Brazil,7,7,0,Brazil,Bolivia,1968,1217,751,-751
2693,2018-04-13,Japan,1,Australia,1,1,1,Japan,Australia,1950,2018,-68,68
2694,2018-04-13,Korea Republic,4,Vietnam,0,4,0,Korea Republic,Vietnam,1860,1640,220,-220
2695,2018-04-16,Colombia,1,Argentina,3,3,1,Argentina,Colombia,1615,1754,-139,139
2696,2018-04-16,Brazil,3,Chile,1,3,1,Brazil,Chile,1968,1567,401,-401
2697,2018-04-16,Colombia,1,Argentina,3,3,1,Argentina,Colombia,1615,1754,-139,139
2698,2018-04-16,Chile,1,Brazil,3,3,1,Brazil,Chile,1968,1567,401,-401
2699,2018-04-16,Philippines,0,Korea Republic,5,5,0,Korea Republic,Philippines,1860,1316,544,-544
2700,2018-04-17,Australia,2,Thailand,2,2,2,Australia,Thailand,2018,1676,342,-342
2701,2018-04-17,China PR,1,Japan,3,3,1,Japan,China PR,1950,1855,95,-95
2702,2018-04-19,Brazil,3,Argentina,0,3,0,Brazil,Argentina,1968,1615,353,-353
2703,2018-04-19,Colombia,0,Chile,0,0,0,Colombia,Chile,1754,1567,187,-187
2704,2018-04-19,Brazil,3,Argentina,0,3,0,Brazil,Argentina,1968,1615,353,-353
2705,2018-04-19,Chile,0,Colombia,0,0,0,Chile,Colombia,1567,1754,-187,187
2706,2018-04-20,China PR,3,Thailand,1,3,1,China PR,Thailand,1855,1676,179,-179
2707,2018-04-20,Japan,1,Australia,0,1,0,Japan,Australia,1950,2018,-68,68
2708,2018-04-22,Chile,4,Argentina,0,4,0,Chile,Argentina,1567,1615,-48,48
2709,2018-04-22,Brazil,3,Colombia,0,3,0,Brazil,Colombia,1968,1754,214,-214
2710,2018-04-22,Chile,4,Argentina,0,4,0,Chile,Argentina,1567,1615,-48,48
2711,2018-04-22,Brazil,3,Colombia,0,3,0,Brazil,Colombia,1968,1754,214,-214
2712,2018-05-07,Cuba,11,Aruba,0,11,0,Cuba,Aruba,1217,745,472,-472
2713,2018-05-09,Anguilla,1,Aruba,2,2,1,Aruba,Anguilla,745,697,48,-48
2714,2018-05-09,Cuba,2,Puerto Rico,2,2,2,Cuba,Puerto Rico,1217,1156,61,-61
2715,2018-05-11,Aruba,0,Puerto Rico,5,5,0,Puerto Rico,Aruba,1156,745,411,-411
2716,2018-05-11,Dominican Republic,3,Anguilla,0,3,0,Dominican Republic,Anguilla,1191,697,494,-494
2717,2018-05-13,Anguilla,0,Cuba,4,4,0,Cuba,Anguilla,1217,697,520,-520
2718,2018-05-13,Dominican Republic,3,Aruba,0,3,0,Dominican Republic,Aruba,1191,745,446,-446
2719,2018-05-13,Haiti,2,Jamaica,2,2,2,Haiti,Jamaica,1372,1352,20,-20
2720,2018-05-19,Dominica,1,St Kitts and Nevis,2,2,1,St Kitts and Nevis,Dominica,942,900,42,-42
2721,2018-05-19,Trinidad and Tobago,10,US Virgin Islands,0,10,0,Trinidad and Tobago,US Virgin Islands,1484,852,632,-632
2722,2018-05-21,US Virgin Islands,3,Grenada,0,3,0,US Virgin Islands,Grenada,852,914,-62,62
2723,2018-05-21,Trinidad and Tobago,3,Dominica,0,3,0,Trinidad and Tobago,Dominica,1484,900,584,-584
2724,2018-05-23,St Kitts and Nevis,10,Grenada,0,10,0,St Kitts and Nevis,Grenada,942,914,28,-28
2725,2018-05-23,US Virgin Islands,0,Dominica,3,3,0,Dominica,US Virgin Islands,900,852,48,-48
2726,2018-05-23,St Lucia,2,Curacao,1,2,1,St Lucia,Curacao,989,831,158,-158
2727,2018-05-23,Antigua and Barbuda,1,St Vincent and the Grenadines,0,1,0,Antigua and Barbuda,St Vincent and the Grenadines,767,1000,-233,233
2728,2018-05-23,Barbados,2,Suriname,1,2,1,Barbados,Suriname,979,1152,-173,173
2729,2018-05-23,Guyana,2,Bermuda,2,2,2,Guyana,Bermuda,1274,943,331,-331
2730,2018-05-25,Grenada,1,Dominica,1,1,1,Grenada,Dominica,914,900,14,-14
2731,2018-05-25,Trinidad and Tobago,1,St Kitts and Nevis,1,1,1,Trinidad and Tobago,St Kitts and Nevis,1484,942,542,-542
2732,2018-05-25,St Vincent and the Grenadines,1,St Lucia,2,2,1,St Lucia,St Vincent and the Grenadines,989,1000,-11,11
2733,2018-05-25,Antigua and Barbuda,3,Curacao,0,3,0,Antigua and Barbuda,Curacao,767,831,-64,64
2734,2018-05-25,Bermuda,3,Barbados,2,3,2,Bermuda,Barbados,943,979,-36,36
2735,2018-05-25,Guyana,6,Suriname,1,6,1,Guyana,Suriname,1274,1152,122,-122
2736,2018-05-27,St Kitts and Nevis,7,US Virgin Islands,0,7,0,St Kitts and Nevis,US Virgin Islands,942,852,90,-90
2737,2018-05-27,Trinidad and Tobago,13,Grenada,0,13,0,Trinidad and Tobago,Grenada,1484,914,570,-570
2738,2018-05-27,Curacao,1,St Vincent and the Grenadines,0,1,0,Curacao,St Vincent and the Grenadines,831,1000,-169,169
2739,2018-05-27,Antigua and Barbuda,1,St Lucia,0,1,0,Antigua and Barbuda,St Lucia,767,989,-222,222
2740,2018-05-27,Suriname,0,Bermuda,1,1,0,Bermuda,Suriname,943,1152,-209,209
2741,2018-05-27,Guyana,0,Barbados,0,0,0,Guyana,Barbados,1274,979,295,-295
2742,2018-06-06,Nigeria,6,Gambia,0,6,0,Nigeria,Gambia,1608,1183,425,-425
2743,2018-06-07,Wales,1,Bosnia and Herzegovina,0,1,0,Wales,Bosnia and Herzegovina,1644,1409,235,-235
2744,2018-06-07,Scotland,2,Belarus,1,2,1,Scotland,Belarus,1793,1450,343,-343
2745,2018-06-07,Sweden,4,Croatia,0,4,0,Sweden,Croatia,1963,1456,507,-507
2746,2018-06-07,Faroe Islands,0,Slovenia,4,4,0,Slovenia,Faroe Islands,1404,1296,108,-108
2747,2018-06-07,Spain,2,Israel,0,2,0,Spain,Israel,1886,1409,477,-477
2748,2018-06-08,USA,1,China PR,0,1,0,USA,China PR,2115,1855,260,-260
2749,2018-06-08,Russia,1,England,3,3,1,England,Russia,2042,1713,329,-329
2750,2018-06-08,Republic of Ireland,0,Norway,2,2,0,Norway,Republic of Ireland,1871,1684,187,-187
2751,2018-06-08,Northern Ireland,0,Netherlands,5,5,0,Netherlands,Northern Ireland,1972,1425,547,-547
2752,2018-06-08,Ukraine,1,Denmark,5,5,1,Denmark,Ukraine,1884,1712,172,-172
2753,2018-06-08,Italy,3,Portugal,0,3,0,Italy,Portugal,1864,1632,232,-232
2754,2018-06-08,Finland,0,Austria,2,2,0,Austria,Finland,1800,1691,109,-109
2755,2018-06-10,Moldova,0,Belgium,7,7,0,Belgium,Moldova,1788,1215,573,-573
2756,2018-06-11,Iceland,2,Slovenia,0,2,0,Iceland,Slovenia,1819,1404,415,-415
2757,2018-06-12,Bosnia and Herzegovina,0,Kazakhstan,2,2,0,Kazakhstan,Bosnia and Herzegovina,1329,1409,-80,80
2758,2018-06-12,Wales,3,Russia,0,3,0,Wales,Russia,1644,1713,-69,69
2759,2018-06-12,Poland,2,Scotland,3,3,2,Scotland,Poland,1793,1668,125,-125
2760,2018-06-12,Belarus,0,Switzerland,5,5,0,Switzerland,Belarus,1849,1450,399,-399
2761,2018-06-12,Norway,1,Republic of Ireland,0,1,0,Norway,Republic of Ireland,1871,1684,187,-187
2762,2018-06-12,Netherlands,1,Slovakia,0,1,0,Netherlands,Slovakia,1972,1498,474,-474
2763,2018-06-12,Denmark,5,Hungary,1,5,1,Denmark,Hungary,1884,1527,357,-357
2764,2018-06-12,Ukraine,1,Sweden,0,1,0,Ukraine,Sweden,1712,1963,-251,251
2765,2018-06-12,Czech Republic,4,Faroe Islands,1,4,1,Czech Republic,Faroe Islands,1649,1296,353,-353
2766,2018-06-12,Romania,1,Portugal,1,1,1,Romania,Portugal,1585,1632,-47,47
2767,2018-06-12,Serbia,0,Finland,2,2,0,Finland,Serbia,1691,1534,157,-157
2768,2018-06-12,Israel,0,Austria,6,6,0,Austria,Israel,1800,1409,391,-391
2769,2018-06-13,USA,2,China PR,1,2,1,USA,China PR,2115,1855,260,-260
2770,2018-07-26,Brazil,1,Australia,3,3,1,Australia,Brazil,1979,1985,-6,6
2771,2018-07-26,USA,4,Japan,2,4,2,USA,Japan,2114,1988,126,-126
2772,2018-07-29,Japan,1,Brazil,2,2,1,Brazil,Japan,1985,1988,-3,3
2773,2018-07-29,USA,1,Australia,1,1,1,USA,Australia,2114,1979,135,-135
2774,2018-08-02,Australia,2,Japan,0,2,0,Australia,Japan,1979,1988,-9,9
2775,2018-08-02,USA,4,Brazil,1,4,1,USA,Brazil,2114,1985,129,-129
2776,2018-08-24,American Samoa,0,Solomon Islands,2,2,0,Solomon Islands,American Samoa,1144,1075,69,-69
2777,2018-08-24,Fiji,5,Vanuatu,1,5,1,Fiji,Vanuatu,1292,1139,153,-153
2778,2018-08-25,Cuba,2,Trinidad and Tobago,3,3,2,Trinidad and Tobago,Cuba,1473,1241,232,-232
2779,2018-08-25,Jamaica,9,Antigua and Barbuda,0,9,0,Jamaica,Antigua and Barbuda,1348,798,550,-550
2780,2018-08-27,Vanuatu,1,American Samoa,0,1,0,Vanuatu,American Samoa,1139,1075,64,-64
2781,2018-08-27,Fiji,0,Solomon Islands,0,0,0,Fiji,Solomon Islands,1292,1144,148,-148
2782,2018-08-27,Panama,4,Nicaragua,0,4,0,Panama,Nicaragua,1363,1073,290,-290
2783,2018-08-27,Costa Rica,11,El Salvador,0,11,0,Costa Rica,El Salvador,1645,1198,447,-447
2784,2018-08-27,Antigua and Barbuda,0,Cuba,7,7,0,Cuba,Antigua and Barbuda,1241,798,443,-443
2785,2018-08-27,Jamaica,4,Bermuda,0,4,0,Jamaica,Bermuda,1348,984,364,-364
2786,2018-08-29,Costa Rica,4,Nicaragua,1,4,1,Costa Rica,Nicaragua,1645,1073,572,-572
2787,2018-08-29,El Salvador,2,Panama,6,6,2,Panama,El Salvador,1363,1198,165,-165
2788,2018-08-29,Trinidad and Tobago,5,Antigua and Barbuda,0,5,0,Trinidad and Tobago,Antigua and Barbuda,1473,798,675,-675
2789,2018-08-29,Cuba,2,Bermuda,0,2,0,Cuba,Bermuda,1241,984,257,-257
2790,2018-08-30,Solomon Islands,0,Vanuatu,1,1,0,Vanuatu,Solomon Islands,1139,1144,-5,5
2791,2018-08-30,Fiji,2,American Samoa,0,2,0,Fiji,American Samoa,1292,1075,217,-217
